name,ring,quadrant,isNew,description
azure devops,invest,build,FALSE,
octopus,retire,deploy,FALSE,
teamcity,??,build,FALSE,
terraform,invest,build,FALSE,
packer,invest,build,FALSE,
powershell,invest,other,FALSE,
chocolatey,hold,other,FALSE,
proget,retire,other,FALSE,
artifactory,invest,other,TRUE,
sql server,hold,manage,FALSE,
azure sql,invest,manage,FALSE,
iis,hold,manage,FALSE,
squid,hold,deploy,FALSE,
terraform-docs,hold,other,FALSE,
tflint,hold,other,FALSE,
tfsec,invest,other,TRUE,
checkov,retire,other,FALSE,
wingate,retire,deploy,FALSE,
pulumi,assess,build,TRUE,
ansible,assess,manage,TRUE,
consul,assess,deploy,TRUE,
azure appconfiguration,assess,deploy,TRUE,
azure automation dsc,hold?,manage,FALSE,
